Ch_1,Ch_2,Ch_3,Ch_4,Sample
-42.452,-7.7242,-15.492,-14.571,569
-29.211,8.2321,-6.562,-3.1824,570
-27.264,-1.8423,-6.5409,-1.6896,571
-22.052,0.0079159,6.7567,12.572,572
-28.945,-10.183,4.6458,11.493,573
-1.4114,44.1,13.589,15.374,574
-11.598,30.66,0.034018,2.1144,575
-14.626,15.406,4.1535,7.29,576
-18.362,18.628,-1.9111,2.4277,577
-22.959,17.92,-3.5151,1.8669,578
-29.662,9.0057,-15.552,-10.407,579
-25.382,17.894,-13.683,-7.6607,580
-24.34,23.1,-12.517,-4.0605,581
-28.748,12.671,-19.374,-7.7934,582
-18.78,21.883,-3.8551,2.9093,583
-16.184,16.512,-5.5104,-0.29646,584
-13.124,29.752,-1.6371,1.3481,585
-19.147,17.765,-6.9195,-3.4836,586
-15.847,24.959,-5.5372,-1.1032,587
-21.314,9.7649,-9.5133,-5.1854,588
-19.431,16.327,2.0498,3.5285,589
-22.456,3.54,-0.97275,4.5388,590
-11.268,17.003,3.5155,8.7391,591
-25.345,7.9235,-9.3873,-7.3633,592
-19.691,11.624,-1.2941,-2.8822,593
-14.76,13.02,7.7072,1.0857,594
-8.8402,19.598,18.608,13.472,595
-10.094,18.461,15.177,10.841,596
-13.7,6.0961,10.998,7.3601,597
-19.289,3.7715,11.407,7.6987,598
-24.692,-4.0442,-1.6986,1.2894,599
-19.846,6.6088,2.4972,7.1945,600
-19.707,0.10465,-1.3445,4.0667,601
-20.55,12.875,-6.3258,0.30749,602
-25.69,-0.18202,-8.3753,-7.1408,603
-11.838,14.858,8.4104,4.9179,604
-25.616,3.5248,-13.412,-11.451,605
-13.086,11.563,-4.8485,-1.644,606
-9.498,6.3721,6.2684,9.0651,607
-8.5747,10.617,8.5626,12.759,608
-6.9724,2.4866,7.9219,16.284,609
-4.6657,2.7177,9.6943,18.784,610
-12.433,-3.2536,-0.98271,7.0603,611
-5.4303,-4.3856,0.26131,8.3068,612
-11.78,-6.7443,-1.1445,4.8014,613
-10.831,-6.6384,3.5351,6.8157,614
-6.6685,9.1434,1.8638,0.90242,615
-14.665,-5.1094,-5.4562,-5.8426,616
-1.9012,7.3515,8.0257,5.8517,617
-11.929,-5.4738,-7.4392,-9.0934,618
-14.98,-0.19034,-9.7397,-10.021,619
-18.539,-7.6417,-15.981,-12.517,620
-10.741,4.582,-7.1538,-2.5485,621
-13.837,-6.8148,-8.6988,-4.1779,622
-6.0501,1.2464,-0.99927,5.3139,623
-14.295,-12.862,-8.8499,-2.3858,624
-13.319,-10.682,-7.2389,-4.6142,625
-22.144,-16.468,-15.618,-11.616,626
-27.844,-23.967,-19.415,-14.176,627
-23.309,-17.523,-16.885,-12.001,628
-18.36,-12.826,-14.625,-7.2427,629
-22.76,-12.712,-18.732,-8.2571,630
-19.174,-26.393,-11.155,1.615,631
-10.625,-14.715,4.1855,15.026,632
-15.084,-22.746,1.1602,10.03,633
-5.0203,-10.847,11.07,17.554,634
-8.98,-22.692,1.3437,7.041,635
5.0845,-0.64896,13.973,12.456,636
-1.1155,-5.1493,1.3441,-4.6209,637
-1.7147,0.040831,-6.981,-15.255,638
0.15631,-0.65638,-12.279,-19.264,639
3.4845,0.67634,-9.5869,-11.319,640
-10.137,-17.633,-9.3477,-9.9128,641
-7.1748,-15.313,6.6247,8.8734,642
-7.7107,-20.121,13.154,15.81,643
-5.9974,-25.582,18.584,20.11,644
-4.7507,-24.284,19.539,19.182,645
-6.9037,-32.992,16.424,15.125,646
0.26797,-23.025,26.834,27.784,647
